  //PID cohen coon
  Kp = 0.4321;
  Ki = 0.0578;
  Kd  =0.1596;
  
Greetings, Human!
Sampling every 200 ms
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
310,81.30,0.00
311,81.00,0.00
312,81.70,0.00
313,81.80,0.00
314,81.40,0.00
315,81.60,0.00
316,82.30,0.00
317,82.40,0.00
318,82.50,0.00
319,82.70,0.00
320,82.60,0.00
321,82.70,0.00
322,82.90,0.00
323,83.20,0.00
324,83.10,0.00
325,83.30,0.00
326,83.50,0.00
327,83.70,0.00
328,83.60,0.00
329,83.90,0.00
330,84.20,0.00
331,84.80,0.00
332,84.40,0.00
333,84.10,0.00
334,84.60,0.00
335,84.50,0.00
336,85.90,0.00
337,85.00,0.00
338,85.20,0.00
339,85.20,0.00
340,85.40,0.00
341,85.60,0.00
342,85.90,0.00
343,86.10,0.00
344,86.50,0.00
345,87.10,0.00
346,86.60,0.00
347,86.40,0.00
348,86.60,0.00
349,86.50,0.00
350,87.40,0.00
351,87.20,0.00
352,87.00,0.00
353,87.40,0.00
354,87.90,0.00
355,88.50,0.00
356,87.70,0.00
357,88.20,0.00
358,88.20,0.00
359,88.20,0.00
360,88.70,0.00
361,88.90,0.00
362,88.60,0.00
363,89.20,0.00
364,89.20,0.00
365,89.00,0.00
366,89.00,0.00
367,89.70,0.00
368,89.50,0.00
369,90.20,0.00
370,90.00,0.00
371,90.30,0.00
372,90.40,0.00
373,90.70,0.00
374,90.60,0.00
375,90.70,0.00
376,90.90,0.00
377,90.90,0.00
378,91.40,0.00
379,91.30,0.00
380,91.30,0.00
381,91.70,0.00
382,91.90,0.00
383,92.50,0.00
384,92.00,0.00
385,92.20,0.00
386,92.10,0.00
387,92.70,0.00
388,92.80,0.00
389,93.10,0.00
390,93.20,0.00
391,93.30,0.00
392,93.50,0.00
393,93.60,0.00
394,93.60,0.00
395,94.00,0.00
396,93.60,0.00
397,94.90,0.00
398,94.50,0.00
399,94.60,0.00
400,94.80,0.00
401,94.90,0.00
402,94.60,0.00
403,95.10,0.00
404,95.50,0.00
405,95.10,0.00
406,95.60,0.00
407,95.80,0.00
408,96.10,0.00
409,96.20,0.00
410,97.30,0.00
411,96.30,0.00
412,96.60,0.00
413,96.10,0.00
414,96.90,0.00
415,97.30,0.00
416,97.10,0.00
417,97.70,0.00
418,97.30,0.00
419,97.60,0.00
420,98.10,0.00
421,98.00,0.00
422,97.90,0.00
423,98.30,0.00
424,98.70,0.00
425,98.50,0.00
426,98.70,0.00
427,98.90,0.00
428,99.20,0.00
429,99.00,0.00
430,99.30,0.00
431,99.70,0.30
432,99.70,0.00
433,99.80,0.02
434,100.30,0.66
435,100.20,0.00
436,100.50,0.44
437,100.50,0.23
438,100.80,0.69
439,100.90,0.74
440,101.10,0.73
441,101.00,0.38
442,101.90,1.65
443,101.30,0.02
444,101.70,1.27
445,101.70,0.98
446,102.00,1.34
447,101.90,0.88
448,102.20,1.05
449,102.20,1.18
450,102.30,1.35
451,102.60,1.31
452,102.80,1.74
453,103.00,1.85
454,103.10,1.00
455,103.10,1.77
456,103.60,2.55
457,103.10,0.00
458,103.40,2.35
459,103.80,2.66
460,104.20,2.69
461,104.30,2.67
462,104.50,2.90
463,104.60,3.02
464,104.80,3.15
465,104.70,2.83
466,105.70,4.31
467,106.10,4.11
468,105.20,2.38
469,105.60,3.61
470,106.60,5.16
471,105.80,2.95
472,105.80,4.01
473,106.30,4.70
474,106.20,4.08
475,106.50,4.64
476,106.80,4.93
477,106.50,4.22
478,107.30,4.91
479,106.80,4.32
480,106.90,5.06
481,107.40,5.51
482,108.20,6.57
483,107.40,4.58
484,107.90,5.58
485,108.20,6.31
486,108.40,6.36
487,108.50,6.45
488,109.30,7.62
489,108.60,5.79
490,108.90,6.93
491,109.10,7.20
492,109.20,7.22
493,109.10,7.12
494,109.20,7.45
495,109.70,8.18
496,109.70,7.82
497,109.90,8.20
498,109.50,7.47
499,110.10,7.91
500,110.20,8.57
501,110.50,9.01
502,110.70,9.07
503,110.80,9.20
504,111.20,9.79
505,111.20,9.56
506,111.40,9.96
507,111.60,10.15
508,111.70,10.71
509,111.90,10.58
510,112.10,10.77
511,112.40,11.11
512,112.30,10.86
513,112.60,11.52
514,113.20,12.32
515,112.90,11.35
516,113.40,12.53
517,113.90,13.09
518,113.20,11.52
519,113.10,12.23
520,113.80,13.08
521,113.70,12.84
522,113.90,13.37
523,114.00,12.91
524,114.50,14.32
525,114.50,13.91
526,114.70,14.34
527,114.40,14.04
528,114.90,15.13
529,114.90,14.72
530,115.10,15.18
531,115.40,15.65
532,115.20,15.17
533,115.50,15.88
534,115.70,16.21
535,115.70,16.13
536,116.10,17.22
537,115.80,16.27
538,116.00,17.03
539,116.20,17.08
540,117.10,18.68
541,116.70,17.27
542,117.80,19.53
543,116.90,17.27
544,116.90,18.37
545,117.30,18.95
546,117.60,19.44
547,117.30,18.83
548,118.00,19.87
549,118.70,20.97
550,118.00,19.33
551,118.00,19.86
552,118.40,21.15
553,118.50,21.04
554,118.60,21.30
555,118.70,21.61
556,118.80,21.81
557,118.90,22.18
558,119.00,22.39
559,119.10,22.60
560,119.20,22.87
561,119.40,23.34
562,119.50,23.44
563,119.50,23.51
564,119.60,23.99
565,119.80,24.36
566,119.80,24.32
567,119.90,24.71
568,120.00,25.03
569,120.00,25.10
570,120.00,25.34
571,120.10,25.77
572,120.10,25.84
573,120.30,26.27
574,120.40,26.60
575,120.40,26.67
576,120.40,26.92
577,120.50,27.35
578,120.60,27.57
579,120.50,27.57
580,120.80,28.41
581,120.80,28.27
582,120.80,28.63
583,120.90,28.96
584,120.90,29.04
585,121.10,29.60
586,121.10,29.67
587,121.00,29.71
588,121.10,30.12
589,121.20,30.56
590,121.20,30.63
591,121.40,31.20
592,121.20,30.97
593,121.40,31.67
