  //PID root locus
  Kp = 0.00816x10;
  Kd = 0.205x10;
  Ki = 0.000033x10;
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
312,86.70,0.28
313,87.00,3.04
314,87.30,1.70
315,87.30,0.00
316,87.40,0.34
317,87.30,0.00
318,87.70,4.46
319,87.90,1.75
320,87.90,1.75
321,88.20,3.14
322,88.00,0.00
323,88.50,1.79
324,88.50,0.00
325,88.60,0.44
326,88.90,0.00
327,89.20,3.22
328,90.30,14.24
329,89.30,1.86
330,90.20,11.50
331,89.60,0.00
332,89.70,0.53
333,90.90,15.66
334,89.70,0.00
335,90.10,0.00
336,90.30,1.94
337,90.30,0.00
338,90.40,0.00
339,90.70,3.34
340,90.90,1.99
341,92.10,13.02
342,91.40,0.00
343,91.10,0.00
344,91.60,0.68
345,91.30,0.00
346,91.70,4.79
347,92.10,4.82
348,92.10,0.00
349,92.30,2.11
350,92.40,0.75
351,92.60,2.13
352,92.60,0.00
353,92.90,2.15
354,92.80,0.00
355,92.90,0.79
356,93.40,0.00
357,93.40,0.00
358,93.50,0.84
359,93.90,9.07
360,93.80,0.00
361,93.90,0.87
362,94.10,0.00
363,94.10,0.00
364,94.40,3.64
365,94.70,0.00
366,94.90,2.32
367,94.90,0.00
368,96.00,11.97
369,95.30,0.00
370,95.80,6.49
371,95.40,0.00
372,95.20,0.00
373,96.00,10.61
374,96.40,6.54
375,96.60,2.46
376,95.90,0.00
377,96.90,6.58
378,97.20,3.87
379,96.90,0.00
380,96.80,1.11
381,96.70,0.00
382,97.60,12.10
383,97.10,0.00
384,97.30,0.00
385,97.50,2.53
386,97.40,0.00
387,97.80,0.00
388,98.20,5.32
389,97.90,0.00
390,98.40,5.34
391,98.50,1.24
392,98.70,2.63
393,99.80,6.82
394,98.90,0.00
395,99.00,1.29
396,99.30,0.00
397,99.60,4.07
398,99.50,0.00
399,99.80,2.72
400,99.70,0.00
401,100.40,9.60
402,100.20,1.38
403,101.20,13.76
404,100.40,0.00
405,101.00,5.55
406,101.00,0.08
407,100.90,0.00
408,101.20,1.46
409,101.40,2.85
410,101.40,0.11
411,101.60,0.13
412,101.80,2.88
413,101.70,0.00
414,102.10,0.00
415,102.30,2.92
416,102.50,2.94
417,102.60,1.58
418,102.90,4.34
419,102.90,0.24
420,103.10,0.00
421,103.50,5.75
422,103.40,0.00
423,103.80,3.05
424,104.20,5.81
425,103.90,0.00
426,104.00,0.00
427,104.30,4.45
428,104.40,1.73
429,104.70,1.75
430,105.80,15.51
431,105.10,0.00
432,105.20,3.16
433,105.00,0.00
434,106.00,14.16
435,105.60,0.46
436,105.80,3.21
437,105.70,0.00
438,106.40,1.90
439,106.10,0.00
440,106.00,0.00
441,107.10,8.79
442,106.70,0.00
443,106.80,1.93
444,107.10,1.96
445,107.30,3.34
446,107.30,0.61
447,107.50,0.62
448,107.70,3.37
449,107.70,0.64
450,107.90,3.39
451,108.10,3.41
452,108.20,2.05
453,108.40,0.00
454,108.50,2.08
455,108.60,2.08
456,108.90,3.48
457,109.10,3.49
458,109.20,2.14
459,109.40,6.25
460,109.80,6.29
461,109.70,0.00
462,109.60,0.00
463,109.90,4.93
464,110.20,4.95
465,110.30,0.00
466,110.10,0.00
467,110.40,4.97
468,110.70,2.26
469,110.70,0.90
470,110.50,0.00
471,111.30,0.00
472,111.30,0.95
473,111.30,0.95
474,111.60,3.71
475,111.70,2.35
476,111.80,2.36
477,112.10,5.12
478,112.30,3.77
479,112.10,0.00
480,112.40,1.05
481,112.40,1.05
482,112.60,3.80
483,112.90,0.00
484,113.10,3.84
485,113.80,10.73
486,113.30,9.32
487,113.30,1.13
488,113.40,2.50
489,113.70,0.00
490,113.90,3.91
491,113.80,0.00
492,114.30,3.94
493,114.20,0.00
494,114.50,5.33
495,114.60,2.61
496,115.00,6.74
497,114.80,0.00
498,115.10,0.00
499,115.20,2.66
500,115.20,1.29
501,115.40,0.00
502,115.80,6.81
503,115.80,1.34
504,115.80,0.00
505,116.10,5.47
506,116.10,1.37
507,116.50,0.00
508,116.70,4.16
509,116.60,0.05
510,116.90,2.81
511,117.00,2.82
512,117.40,6.95
513,117.40,4.22
514,117.50,2.86
515,117.60,2.87
516,117.70,2.88
517,117.80,1.52
518,118.60,12.52
519,118.30,0.00
520,118.50,4.32
521,118.60,2.96
522,118.80,4.34
523,118.90,2.99
524,119.00,3.00
525,119.20,4.38
526,119.20,0.28
527,120.30,16.77
528,119.50,0.00
529,120.10,7.19
530,119.80,0.00
531,119.60,0.00
532,120.10,0.00
533,120.20,3.11
534,120.50,5.86
535,120.80,5.89
536,121.00,4.54
537,121.10,3.18
538,121.10,1.82
539,120.80,0.00
540,121.40,10.05
541,121.60,1.87
542,121.80,4.62
543,121.90,3.26
544,122.10,4.64
545,122.30,4.66
546,122.30,1.93
547,122.70,1.96
548,122.40,0.00
549,122.90,8.82
550,123.70,11.62
551,123.30,0.00
552,123.30,2.02
553,123.60,4.78
554,123.60,2.05
555,124.20,10.30
556,124.00,2.08
557,124.60,10.33
558,124.20,0.00
559,124.60,4.87
560,125.00,7.64
561,124.90,0.80
562,125.50,9.05
563,125.20,0.00
564,125.70,9.07
565,126.10,10.47
566,125.80,0.00
567,126.00,5.00
568,126.10,6.37
569,126.20,3.65
570,126.10,0.91
571,126.60,3.69
572,126.90,6.45
573,127.70,13.35
574,127.80,11.99
575,127.20,0.00
576,127.50,6.50
577,127.50,2.41
578,127.80,6.53
579,128.00,5.18
580,128.60,13.43
581,128.30,0.00
582,128.30,2.48
583,128.50,5.23
